er	b	p	m	f	d	t	n	l	g	k	h	z	c	s	zh	ch	sh	r	j	q	x	y	w	-
a	ba	pa	ma	fa	da	ta	na	la	ga	ka	ha	za	ca	sa	zha	cha	sha	-	-	-	-	ya	wa	a
o	bo	po	mo	fo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	wo	o
e	-	-	me	-	de	te	ne	le	ge	ke	he	ze	ce	se	zhe	che	she	re	-	-	-	ye	-	e
ai	bai	pai	mai	-	dai	tai	nai	lai	gai	kai	hai	zai	cai	sai	zhai	chai	shai	-	-	-	-	-	wai	ai
ei	bei	pei	mei	fei	dei	tei	nei	lei	gei	kei	hei	zei	-	-	zhei	-	shei	-	-	-	-	-	wei	ei
ao	bao	pao	mao	-	dao	tao	nao	lao	gao	kao	hao	zao	cao	sao	zhao	chao	shao	rao	-	-	-	yao	-	ao
ou	-	pou	mou	fou	dou	tou	nou	lou	gou	kou	hou	zou	cou	sou	zhou	chou	shou	rou	-	-	-	you	-	ou
an	ban	pan	man	fan	dan	tan	nan	lan	gan	kan	han	zan	can	san	zhan	chan	shan	ran	-	-	-	yan	wan	an
ang	bang	pang	mang	fang	dang	tang	nang	lang	gang	kang	hang	zang	cang	sang	zhang	chang	shang	rang	-	-	-	yang	wang	ang
en	ben	pen	men	fen	den	-	nen	-	gen	ken	hen	zen	cen	sen	zhen	chen	shen	ren	-	-	-	-	wen	en
eng	beng	peng	meng	feng	deng	teng	neng	leng	geng	keng	heng	zeng	ceng	seng	zheng	cheng	sheng	reng	-	-	-	-	weng	eng
ong	-	-	-	-	dong	tong	nong	long	gong	kong	hong	zong	cong	song	zhong	chong	-	rong	-	-	-	yong	-	-
u	bu	pu	mu	fu	du	tu	nu	lu	gu	ku	hu	zu	cu	su	zhu	chu	shu	ru	-	-	-	-	wu	-
ua	-	-	-	-	-	-	-	-	gua	kua	hua	-	-	-	zhua	chua	shua	rua	-	-	-	-	-	-
uo	-	-	-	-	duo	tuo	nuo	luo	guo	kuo	huo	zuo	cuo	suo	zhuo	chuo	shuo	ruo	-	-	-	-	-	-
uai	-	-	-	-	-	-	-	-	guai	kuai	huai	-	-	-	zhuai	chuai	shuai	-	-	-	-	-	-	-
ui	-	-	-	-	dui	tui	-	-	gui	kui	hui	zui	cui	sui	zhui	chui	shui	rui	-	-	-	-	-	-
uan	-	-	-	-	duan	tuan	nuan	luan	guan	kuan	huan	zuan	cuan	suan	zhuan	chuan	shuan	ruan	-	-	-	-	-	-
uang	-	-	-	-	-	-	-	-	guang	kuang	huang	-	-	-	zhuang	chuang	shuang	-	-	-	-	-	-	-
un	-	-	-	-	dun	tun	nun	lun	gun	kun	hun	zun	cun	sun	zhun	chun	shun	run	-	-	-	-	-	-
ueng	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
i	bi	pi	mi	-	di	ti	ni	li	-	-	-	zi	ci	si	zhi	chi	shi	ri	ji	qi	xi	yi	-	-
ia	-	-	-	-	dia	-	-	lia	-	-	-	-	-	-	-	-	-	-	jia	qia	xia	-	-	-
ie	bie	pie	mie	-	die	tie	nie	lie	-	-	-	-	-	-	-	-	-	-	jie	qie	xie	-	-	-
iao	biao	piao	miao	-	diao	tiao	niao	liao	-	-	-	-	-	-	-	-	-	-	jiao	qiao	xiao	-	-	-
iu	-	-	miu	-	diu	-	niu	liu	-	-	-	-	-	-	-	-	-	-	jiu	qiu	xiu	-	-	-
ian	bian	pian	mian	-	dian	tian	nian	lian	-	-	-	-	-	-	-	-	-	-	jian	qian	xian	-	-	-
iang	-	-	-	-	-	-	niang	liang	-	-	-	-	-	-	-	-	-	-	jiang	qiang	xiang	-	-	-
in	bin	pin	min	-	-	-	nin	lin	-	-	-	-	-	-	-	-	-	-	jin	qin	xin	yin	-	-
ing	bing	ping	ming	-	ding	ting	ning	ling	-	-	-	-	-	-	-	-	-	-	jing	qing	xing	ying	-	-
iong	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	jiong	qiong	xiong	-	-	-
v	-	-	-	-	-	-	nv	lv	-	-	-	-	-	-	-	-	-	-	jv	qv	xv	yv	-	-
ve	-	-	-	-	-	-	nve	lve	-	-	-	-	-	-	-	-	-	-	jve	qve	xve	yve	-	-
van	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	jvan	qvan	xvan	yvan	-	-
vn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	jvn	qvn	xvn	yvn	-	-
